,track,artists,artist_count,streams
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,141381703.0
1,LALA,Myke Towers,1,133716286.0
2,vampire,Olivia Rodrigo,1,140003974.0
3,Cruel Summer,Taylor Swift,1,800840817.0
4,WHERE SHE GOES,Bad Bunny,1,303236322.0
5,Sprinter,"Dave, Central Cee",2,183706234.0
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,725980112.0
7,Columbia,Quevedo,1,58149378.0
8,fukumean,Gunna,1,95217315.0
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,553634067.0
10,un x100to,"Bad Bunny, Grupo Frontera",2,505671438.0
11,Super Shy,NewJeans,1,58255150.0
13,Daylight,David Kushner,1,387570742.0
15,Kill Bill,SZA,1,1163093654.0
16,Cupid - Twin Ver.,Fifty Fifty,1,496795686.0
18,Classy 101,"Feid, Young Miko",2,335222234.0
19,Like Crazy,Jimin,1,363369738.0
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,86444842.0
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,52135248.0
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,200647221.0
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,115364561.0
25,SABOR FRESA,Fuerza Regida,1,78300654.0
26,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,899183384.0
27,MOJABI GHOST,"Tainy, Bad Bunny",2,61245289.0
28,Last Night,Morgan Wallen,1,429829812.0
29,Dance The Night (From Barbie The Album),Dua Lipa,1,127408954.0
30,Rush,Troye Sivan,1,22581161.0
31,TULUM,"Peso Pluma, Grupo Frontera",2,52294266.0
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,843957510.0
33,Anti-Hero,Taylor Swift,1,999748277.0
34,TQG,"Karol G, Shakira",2,618990393.0
36,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,188933502.0
37,Blank Space,Taylor Swift,1,1355959075.0
38,Style,Taylor Swift,1,786181836.0
39,TQM,Fuerza Regida,1,176553476.0
40,El Azul,"Junior H, Peso Pluma",2,354495408.0
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2808096550.0
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,1109433169.0
43,See You Again,"Tyler, The Creator, Kali Uchis",3,1047101291.0
45,Angels Like You,Miley Cyrus,1,570515054.0
47,Die For You,The Weeknd,1,1647990401.0
48,Starboy,"The Weeknd, Daft Punk",2,2565529693.0
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,518745108.0
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,107753850.0
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,177740666.0
52,AMARGURA,Karol G,1,153372011.0
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,57876440.0
56,Moonlight,Kali Uchis,1,256483385.0
57,La Bachata,Manuel Turizo,1,1214083358.0
60,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,111947664.0
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,156338624.0
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,720434240.0
63,BESO,"Rauw Alejandro, ROSALï¿½",2,357925728.0
64,Hey Mor,"Ozuna, Feid",2,674072710.0
65,Yellow,Chris Molitor,1,1755214421.0
66,Karma,Taylor Swift,1,404562836.0
67,People,Libianca,1,373199958.0
68,Overdrive,Post Malone,1,14780425.0
69,Enchanted (Taylor's Version),Taylor Swift,1,39578178.0
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,54266102.0
72,golden hour,JVKE,1,751134527.0
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,1356565093.0
75,Viva La Vida,Coldplay,1,1592909789.0
76,Here With Me,d4vd,1,635412045.0
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,1230675890.0
78,Yandel 150,"Yandel, Feid",2,585695368.0
79,CORAZï¿½ï¿½N VA,Maria Becerra,1,43857627.0
80,Riptide,Vance Joy,1,2009094673.0
